CUI4 token,Corresponding CUI5 tokens,,CUI4 token (RGBA),Corresponding CUI5 tokens
"$color-blue-hex-shade-16
","--pd-color-active-strong
--pd-color-info-strong
--pd-color-text-info*",,"$color-blue-rgba-shade-16
",
$color-blue-hex,"--pd-color-active-default
--pd-color-info-default
--pd-color-text-info*
--pd-color-text-active*
--pd-color-text-link
--pd-color-icon-info*
--pd-color-icon-active*
--pd-color-icon-link",,$color-blue-rgba,
$color-blue-hex-88,--pd-color-active-hover,,$color-blue-rgba-88,
$color-blue-hex-64,"--pd-color-text-link-inverted
--pd-color-icon-link-inverted",,$color-blue-rgba-64,
$color-blue-hex-32,"--pd-color-active-muted
--pd-color-info-border
--pd-color-text-link-muted
--pd-color-icon-link-muted",,$color-blue-rgba-32,
$color-blue-hex-24,--pd-color-active-background-strong,,$color-blue-rgba-24,
$color-blue-hex-16,"--pd-color-active-background
--pd-color-info-background",,$color-blue-rgba-16,
$color-blue-hex-12,,,$color-blue-rgba-12,
$color-blue-hex-8,"--pd-color-active-background-light
--pd-color-info-background-light",,$color-blue-rgba-8,
$color-blue-hex-4,,,$color-blue-rgba-4,